square_meters,bedrooms,bathrooms,propRange,kitchenRange,bathroomRange,interiorRange,price
100.0,2.0,2.0,2.7,3.2,5.3,5.0,207680.44278156257
100.0,2.0,2.0,3.5,1.8,4.3,5.4,180240.16962796153
